empresa,area_departamento,antiguedad_anios,posicionamiento_salarial,evaluacion_global,movilidad_funcional_sn,tipo_contrato,rotacion_voluntaria,tramo_antiguedad
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,24.96,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,24.93,Por encima del máximo de la banda,4,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,24.57,Por encima del máximo de la banda,4,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,24.4,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,24.15,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,23.91,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,23.54,Entre el medio y el punto máximo de la banda,4,Sí,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,23.51,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,23.13,Por encima del máximo de la banda,Sin Evaluación,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,23.08,Por encima del máximo de la banda,1,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.95,Entre el medio y el punto máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.94,Por debajo del mínimo de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.91,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.87,Entre el medio y el punto máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.84,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.68,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.44,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.23,Entre el medio y el punto máximo de la banda,2,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.08,Por encima del máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.08,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.08,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.06,Entre el medio y el punto máximo de la banda,5,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.0,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.0,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,22.0,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,21.91,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,21.67,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,21.5,Por debajo del mínimo de la banda,5,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,21.48,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,21.47,Entre el punto mínimo y el punto medio de la banda,5,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,21.22,Entre el punto mínimo y el punto medio de la banda,Sin Evaluación,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.99,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.91,Entre el punto mínimo y el punto medio de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.84,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.58,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.53,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.42,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.41,Por debajo del mínimo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.24,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,20.16,Por encima del máximo de la banda,Sin Evaluación,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,20.11,Por encima del máximo de la banda,Sin Evaluación,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,20.0,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,20.0,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.95,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.8,Entre el medio y el punto máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.75,Por encima del máximo de la banda,5,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.73,Entre el punto mínimo y el punto medio de la banda,3,Sí,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,19.61,Entre el medio y el punto máximo de la banda,Sin Evaluación,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.16,Entre el medio y el punto máximo de la banda,4,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.16,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.16,Entre el punto mínimo y el punto medio de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.12,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.0,Entre el medio y el punto máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.0,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.0,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,19.0,Por debajo del mínimo de la banda,2,No,Fijo,0,Más de 15 años
MAPFRE S.A.,AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,18.99,Por debajo del mínimo de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,18.97,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,18.96,Entre el punto mínimo y el punto medio de la banda,5,No,Fijo,0,Más de 15 años
